A0142BA001.wav,file_1.str.wav.xma
A0142BA002.wav,file_2.str.wav.xma
A0142BA003.wav,file_3.str.wav.xma
A0142BA004.wav,file_4.str.wav.xma
A0142BA005.wav,file_5.str.wav.xma
A0142BA006.wav,file_6.str.wav.xma
A0142BA007.wav,file_7.str.wav.xma
A0142BA008.wav,file_8.str.wav.xma
A0142BA009.wav,file_9.str.wav.xma
A0142BA010.wav,file_10.str.wav.xma
A0142BA011.wav,file_11.str.wav.xma
A0142BA012.wav,file_12.str.wav.xma
A0142BA013.wav,file_13.str.wav.xma
A0142BA015.wav,file_15.str.wav.xma
A0142BA016.wav,file_16.str.wav.xma
A0142BB001.wav,file_17.str.wav.xma
A0142BB002.wav,file_18.str.wav.xma
A0142BB003.wav,file_19.str.wav.xma
A0142BB004.wav,file_20.str.wav.xma
A0142BB005.wav,file_21.str.wav.xma
A0142BB006.wav,file_22.str.wav.xma
A0142BB007.wav,file_23.str.wav.xma
A0142BB008.wav,file_24.str.wav.xma
A0142BB009.wav,file_25.str.wav.xma
A0142BB010.wav,file_26.str.wav.xma
A0142BB011.wav,file_27.str.wav.xma
A0142BB012.wav,file_28.str.wav.xma
A0142BB013.wav,file_29.str.wav.xma
A0142BB014.wav,file_30.str.wav.xma
A0142BB015.wav,file_31.str.wav.xma
A0142BB016.wav,file_32.str.wav.xma
A0142BB017.wav,file_33.str.wav.xma
A0142BB018.wav,file_34.str.wav.xma
A0142BB019.wav,file_35.str.wav.xma
A0142BB020.wav,file_36.str.wav.xma
A0142BB021.wav,file_37.str.wav.xma
A0142BB022.wav,file_38.str.wav.xma
A0142BB023.wav,file_39.str.wav.xma
A0142BB024.wav,file_40.str.wav.xma
A0142BA014.wav,file_14.str.wav.xma
A0142BB025,wav,file_41.str.wav.xma
